主体,公司全称,股票代码,指标,FY2023,FY2024,FY2025,单位,口径说明,主要来源
中国联通,China Unicom (Hong Kong) Limited,0762.HK,毛利,"211,398","217,153","216,463",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国联通2026年一季度FAQ: https://www.chinaunicom.com.hk/en/ir/faq.php；中国联通2025年度业绩公告: https://www.chinaunicom.com.hk/en/media/press/p260319.pdf；中国联通股息历史: https://www.chinaunicom.com.hk/en/ir/dividend.php
中国联通,China Unicom (Hong Kong) Limited,0762.HK,毛利率,56.74%,55.74%,55.19%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国联通2026年一季度FAQ: https://www.chinaunicom.com.hk/en/ir/faq.php；中国联通2025年度业绩公告: https://www.chinaunicom.com.hk/en/media/press/p260319.pdf；中国联通股息历史: https://www.chinaunicom.com.hk/en/ir/dividend.php
中国联通,China Unicom (Hong Kong) Limited,0762.HK,经营利润/营业利润,"16,146","13,206","15,897",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国联通2026年一季度FAQ: https://www.chinaunicom.com.hk/en/ir/faq.php；中国联通2025年度业绩公告: https://www.chinaunicom.com.hk/en/media/press/p260319.pdf；中国联通股息历史: https://www.chinaunicom.com.hk/en/ir/dividend.php
中国联通,China Unicom (Hong Kong) Limited,0762.HK,经营利润率,4.33%,3.39%,4.05%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国联通2026年一季度FAQ: https://www.chinaunicom.com.hk/en/ir/faq.php；中国联通2025年度业绩公告: https://www.chinaunicom.com.hk/en/media/press/p260319.pdf；中国联通股息历史: https://www.chinaunicom.com.hk/en/ir/dividend.php
中国联通,China Unicom (Hong Kong) Limited,0762.HK,净利润/股东应占利润,"18,726","20,613","20,816",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国联通2026年一季度FAQ: https://www.chinaunicom.com.hk/en/ir/faq.php；中国联通2025年度业绩公告: https://www.chinaunicom.com.hk/en/media/press/p260319.pdf；中国联通股息历史: https://www.chinaunicom.com.hk/en/ir/dividend.php
中国联通,China Unicom (Hong Kong) Limited,0762.HK,EBITDA,"84,122","79,494","80,522",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国联通2026年一季度FAQ: https://www.chinaunicom.com.hk/en/ir/faq.php；中国联通2025年度业绩公告: https://www.chinaunicom.com.hk/en/media/press/p260319.pdf；中国联通股息历史: https://www.chinaunicom.com.hk/en/ir/dividend.php
中国联通,China Unicom (Hong Kong) Limited,0762.HK,EBITDA率,22.58%,20.40%,20.53%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国联通2026年一季度FAQ: https://www.chinaunicom.com.hk/en/ir/faq.php；中国联通2025年度业绩公告: https://www.chinaunicom.com.hk/en/media/press/p260319.pdf；中国联通股息历史: https://www.chinaunicom.com.hk/en/ir/dividend.php
中国联通,China Unicom (Hong Kong) Limited,0762.HK,经营现金流,"102,391","89,402","90,175",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国联通2026年一季度FAQ: https://www.chinaunicom.com.hk/en/ir/faq.php；中国联通2025年度业绩公告: https://www.chinaunicom.com.hk/en/media/press/p260319.pdf；中国联通股息历史: https://www.chinaunicom.com.hk/en/ir/dividend.php
中国联通,China Unicom (Hong Kong) Limited,0762.HK,资本开支,"-79,375","-75,740","-67,641",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国联通2026年一季度FAQ: https://www.chinaunicom.com.hk/en/ir/faq.php；中国联通2025年度业绩公告: https://www.chinaunicom.com.hk/en/media/press/p260319.pdf；中国联通股息历史: https://www.chinaunicom.com.hk/en/ir/dividend.php
中国联通,China Unicom (Hong Kong) Limited,0762.HK,自由现金流,"23,016","13,662","22,534",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国联通2026年一季度FAQ: https://www.chinaunicom.com.hk/en/ir/faq.php；中国联通2025年度业绩公告: https://www.chinaunicom.com.hk/en/media/press/p260319.pdf；中国联通股息历史: https://www.chinaunicom.com.hk/en/ir/dividend.php
中国联通,China Unicom (Hong Kong) Limited,0762.HK,现金及等价物,"47,733","28,480","25,109",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国联通2026年一季度FAQ: https://www.chinaunicom.com.hk/en/ir/faq.php；中国联通2025年度业绩公告: https://www.chinaunicom.com.hk/en/media/press/p260319.pdf；中国联通股息历史: https://www.chinaunicom.com.hk/en/ir/dividend.php
中国联通,China Unicom (Hong Kong) Limited,0762.HK,总资产,"661,051","671,237","669,618",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国联通2026年一季度FAQ: https://www.chinaunicom.com.hk/en/ir/faq.php；中国联通2025年度业绩公告: https://www.chinaunicom.com.hk/en/media/press/p260319.pdf；中国联通股息历史: https://www.chinaunicom.com.hk/en/ir/dividend.php
中国联通,China Unicom (Hong Kong) Limited,0762.HK,总债务,"46,425","41,207","34,087",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国联通2026年一季度FAQ: https://www.chinaunicom.com.hk/en/ir/faq.php；中国联通2025年度业绩公告: https://www.chinaunicom.com.hk/en/media/press/p260319.pdf；中国联通股息历史: https://www.chinaunicom.com.hk/en/ir/dividend.php
中国铁塔,China Tower Corporation Limited,0788.HK,营业收入/收益,"94,009","97,772","100,411",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国铁塔2026年第一季度未经审核KPI: https://ir.china-tower.com/en/global/home.php；中国铁塔2025年度业绩演示: https://ir.china-tower.com/en/ir/presentation/pre260318.pdf；中国铁塔2025业绩新闻稿: https://www.china-tower.com/Index/show/catid/17/id/1648.html
中国铁塔,China Tower Corporation Limited,0788.HK,收入同比增长,1.99%,4.00%,2.70%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国铁塔2026年第一季度未经审核KPI: https://ir.china-tower.com/en/global/home.php；中国铁塔2025年度业绩演示: https://ir.china-tower.com/en/ir/presentation/pre260318.pdf；中国铁塔2025业绩新闻稿: https://www.china-tower.com/Index/show/catid/17/id/1648.html
中国铁塔,China Tower Corporation Limited,0788.HK,毛利,"77,757","81,207","83,231",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国铁塔2026年第一季度未经审核KPI: https://ir.china-tower.com/en/global/home.php；中国铁塔2025年度业绩演示: https://ir.china-tower.com/en/ir/presentation/pre260318.pdf；中国铁塔2025业绩新闻稿: https://www.china-tower.com/Index/show/catid/17/id/1648.html
中国铁塔,China Tower Corporation Limited,0788.HK,毛利率,82.71%,83.06%,82.89%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国铁塔2026年第一季度未经审核KPI: https://ir.china-tower.com/en/global/home.php；中国铁塔2025年度业绩演示: https://ir.china-tower.com/en/ir/presentation/pre260318.pdf；中国铁塔2025业绩新闻稿: https://www.china-tower.com/Index/show/catid/17/id/1648.html
中国铁塔,China Tower Corporation Limited,0788.HK,经营利润/营业利润,"14,898","15,804","17,187",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国铁塔2026年第一季度未经审核KPI: https://ir.china-tower.com/en/global/home.php；中国铁塔2025年度业绩演示: https://ir.china-tower.com/en/ir/presentation/pre260318.pdf；中国铁塔2025业绩新闻稿: https://www.china-tower.com/Index/show/catid/17/id/1648.html
中国铁塔,China Tower Corporation Limited,0788.HK,经营利润率,15.85%,16.16%,17.12%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国铁塔2026年第一季度未经审核KPI: https://ir.china-tower.com/en/global/home.php；中国铁塔2025年度业绩演示: https://ir.china-tower.com/en/ir/presentation/pre260318.pdf；中国铁塔2025业绩新闻稿: https://www.china-tower.com/Index/show/catid/17/id/1648.html
中国铁塔,China Tower Corporation Limited,0788.HK,净利润/股东应占利润,"9,750","10,729","11,630",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国铁塔2026年第一季度未经审核KPI: https://ir.china-tower.com/en/global/home.php；中国铁塔2025年度业绩演示: https://ir.china-tower.com/en/ir/presentation/pre260318.pdf；中国铁塔2025业绩新闻稿: https://www.china-tower.com/Index/show/catid/17/id/1648.html
中国铁塔,China Tower Corporation Limited,0788.HK,EBITDA,"52,513","54,646","54,676",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国铁塔2026年第一季度未经审核KPI: https://ir.china-tower.com/en/global/home.php；中国铁塔2025年度业绩演示: https://ir.china-tower.com/en/ir/presentation/pre260318.pdf；中国铁塔2025业绩新闻稿: https://www.china-tower.com/Index/show/catid/17/id/1648.html
中国铁塔,China Tower Corporation Limited,0788.HK,EBITDA率,55.86%,55.89%,54.45%,millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国铁塔2026年第一季度未经审核KPI: https://ir.china-tower.com/en/global/home.php；中国铁塔2025年度业绩演示: https://ir.china-tower.com/en/ir/presentation/pre260318.pdf；中国铁塔2025业绩新闻稿: https://www.china-tower.com/Index/show/catid/17/id/1648.html
中国铁塔,China Tower Corporation Limited,0788.HK,经营现金流,"32,840","49,468","56,116",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国铁塔2026年第一季度未经审核KPI: https://ir.china-tower.com/en/global/home.php；中国铁塔2025年度业绩演示: https://ir.china-tower.com/en/ir/presentation/pre260318.pdf；中国铁塔2025业绩新闻稿: https://www.china-tower.com/Index/show/catid/17/id/1648.html
中国铁塔,China Tower Corporation Limited,0788.HK,资本开支,"-33,464","-29,783","-30,510",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国铁塔2026年第一季度未经审核KPI: https://ir.china-tower.com/en/global/home.php；中国铁塔2025年度业绩演示: https://ir.china-tower.com/en/ir/presentation/pre260318.pdf；中国铁塔2025业绩新闻稿: https://www.china-tower.com/Index/show/catid/17/id/1648.html
中国铁塔,China Tower Corporation Limited,0788.HK,自由现金流,-624,"19,685","25,606",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国铁塔2026年第一季度未经审核KPI: https://ir.china-tower.com/en/global/home.php；中国铁塔2025年度业绩演示: https://ir.china-tower.com/en/ir/presentation/pre260318.pdf；中国铁塔2025业绩新闻稿: https://www.china-tower.com/Index/show/catid/17/id/1648.html
中国铁塔,China Tower Corporation Limited,0788.HK,现金及等价物,"3,955","2,598","12,312",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国铁塔2026年第一季度未经审核KPI: https://ir.china-tower.com/en/global/home.php；中国铁塔2025年度业绩演示: https://ir.china-tower.com/en/ir/presentation/pre260318.pdf；中国铁塔2025业绩新闻稿: https://www.china-tower.com/Index/show/catid/17/id/1648.html
中国铁塔,China Tower Corporation Limited,0788.HK,总资产,"326,007","332,834","336,579",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国铁塔2026年第一季度未经审核KPI: https://ir.china-tower.com/en/global/home.php；中国铁塔2025年度业绩演示: https://ir.china-tower.com/en/ir/presentation/pre260318.pdf；中国铁塔2025业绩新闻稿: https://www.china-tower.com/Index/show/catid/17/id/1648.html
中国铁塔,China Tower Corporation Limited,0788.HK,总债务,"94,626","92,542","90,460",millions CNY,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,中国铁塔2026年第一季度未经审核KPI: https://ir.china-tower.com/en/global/home.php；中国铁塔2025年度业绩演示: https://ir.china-tower.com/en/ir/presentation/pre260318.pdf；中国铁塔2025业绩新闻稿: https://www.china-tower.com/Index/show/catid/17/id/1648.html
